%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1592384463470680229,82,1592384463360379805,map,0.889354485936,-0.214047684371,0.0,0.0,0.0,-0.0238237196042,0.999716174914,0.24580589706,-0.00126449125922,0.0,0.0,0.0,0.0,-0.00126449125922,0.259433639951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669263002331
1592384463971606781,83,1592384463861566805,map,1.12732172033,-0.253014513916,0.0,0.0,0.0,-0.47727810181,0.878752304994,0.246552005126,-0.00454770960541,0.0,0.0,0.0,0.0,-0.00454770960541,0.250120945099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694479624256
1592384464671556279,84,1592384464563225805,map,1.24675308723,-0.391293723678,0.0,0.0,0.0,-0.00956782141742,0.999954227349,0.247854315869,-0.00134770906467,0.0,0.0,0.0,0.0,-0.00134770906467,0.249668257015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670703471757
1592384465171407862,85,1592384465064456805,map,1.89304316549,-0.282176880677,0.0,0.0,0.0,0.0701571087263,0.997535954287,0.249885706223,0.00564241323128,0.0,0.0,0.0,0.0,0.00564241323128,0.253191099904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708312298186
1592384465874230194,86,1592384465766190805,map,2.37682582667,-0.179633017851,0.0,0.0,0.0,0.250763994125,0.968048252542,0.249325244573,-0.00440592760365,0.0,0.0,0.0,0.0,-0.00440592760365,0.247910406092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662477494049
1592384466375251276,87,1592384466267341805,map,3.08770764021,0.203536764686,0.0,0.0,0.0,0.278122714847,0.960545550969,0.245947638939,0.00201942288791,0.0,0.0,0.0,0.0,0.00201942288791,0.253420917504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678165031109
1592384466973607076,88,1592384466868801805,map,3.39504829431,0.431090980583,0.0,0.0,0.0,0.218854776178,0.975757442679,0.24709868528,0.00152087975463,0.0,0.0,0.0,0.0,0.00152087975463,0.249893957219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676993003762
1592384479877928438,89,1592384479749552805,map,3.80625339334,0.482787802313,0.0,0.0,0.0,-0.258366645558,0.966046932847,0.252492596772,0.00423998770286,0.0,0.0,0.0,0.0,0.00423998770286,0.253478126413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684464718254
1592384480575719345,90,1592384480501366805,map,4.36886677682,0.192766618984,0.0,0.0,0.0,-0.388442788455,0.921472842843,0.24130567511,0.00283389468943,0.0,0.0,0.0,0.0,0.00283389468943,0.258913841172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669886936621
1592384481077982513,91,1592384481002572805,map,4.4020926271,0.00896042899986,0.0,0.0,0.0,-0.621582035205,0.783349075132,0.24148971844,-0.00068172989969,0.0,0.0,0.0,0.0,-0.00068172989969,0.247176543956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694380595528
1592384481678677525,92,1592384481603994805,map,4.42269084924,-0.155051350825,0.0,0.0,0.0,-0.886839931235,0.462076764583,0.255019706159,0.00022960826392,0.0,0.0,0.0,0.0,0.00022960826392,0.250791246973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681165178115
1592384482179524882,93,1592384482105221805,map,4.22712703251,-0.45242951238,0.0,0.0,0.0,-0.923806480971,0.382859746795,0.246922867447,-0.00339071362267,0.0,0.0,0.0,0.0,-0.00339071362267,0.242920327357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067217012845
1592384482778662888,94,1592384482706623805,map,3.9791612103,-0.573859951903,0.0,0.0,0.0,-0.957372433871,0.288856405268,0.24996961453,-0.00139053133371,0.0,0.0,0.0,0.0,-0.00139053133371,0.253456480011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687471690393
